count,hour,minute,second,msec,x1,y1,z1,x2,y2,z2,x3,y3,z3,q1,q2,q3,pos1,pos2,pos3,vel1,vel2,vel3
2127,17,52,51,260,-0.162888,0.295301,1.41758,-0.355931,0.151763,1.46547,-0.51468,0.0220648,1.44656,88,-53.8936,-15.5049,87.9991,52.4364,20.6323,-0.00137329,2.02698,-9.42352
2128,17,52,51,294,-0.16244,0.297915,1.41812,-0.354036,0.151243,1.4647,-0.513957,0.0223314,1.44601,88,-54.0206,-16.0895,87.9984,52.5146,20.2959,-0.0514984,2.45476,-8.16147
2129,17,52,51,329,-0.16244,0.297915,1.41812,-0.354036,0.151243,1.4647,-0.513957,0.0223314,1.44601,88,-53.9495,-16.3946,87.9984,52.606,20.0006,-0.0377655,2.82692,-7.71446
2130,17,52,51,361,-0.16244,0.297915,1.41812,-0.354036,0.151243,1.4647,-0.513957,0.0223314,1.44601,88,-53.76,-16.4654,87.9991,52.7014,19.7795,0,2.93953,-6.21552
2131,17,52,51,410,-0.162432,0.297952,1.41813,-0.354032,0.151278,1.46477,-0.513966,0.0223525,1.44616,88,-53.573,-16.4197,87.9991,52.8422,19.4946,0,2.67311,-4.62593
2132,17,52,51,429,-0.162432,0.297952,1.41813,-0.354032,0.151278,1.46477,-0.513966,0.0223525,1.44616,88,-53.4377,-16.3369,87.9991,52.8923,19.4115,0,2.38953,-4.29909
2133,17,52,51,461,-0.162432,0.297952,1.41813,-0.354032,0.151278,1.46477,-0.513966,0.0223525,1.44616,88,-53.3604,-16.2605,87.9991,52.9658,19.2645,0,2.07985,-5.00153
2134,17,52,51,495,-0.16185,0.300212,1.41829,-0.352538,0.151486,1.46516,-0.511667,0.0218085,1.44055,88,-53.2943,-16.3198,87.9991,53.0262,19.1066,0,1.50238,-4.04984
2135,17,52,51,529,-0.16185,0.300212,1.41829,-0.352538,0.151486,1.46516,-0.511667,0.0218085,1.44055,88,-53.1834,-16.6443,87.9998,53.0688,18.9761,0,0.927658,-3.86513
2136,17,52,51,561,-0.16185,0.300212,1.41829,-0.352538,0.151486,1.46516,-0.511667,0.0218085,1.44055,88,-53.0503,-17.1032,87.9998,53.0942,18.8457,0,0.650253,-4.2675
2137,17,52,51,594,-0.16209,0.29945,1.41738,-0.35297,0.15177,1.46565,-0.511538,0.0218485,1.4402,88,-52.962,-17.5346,87.9998,53.1107,18.7214,0,0.413361,-3.5321
2138,17,52,51,623,-0.16209,0.29945,1.41738,-0.35297,0.15177,1.46565,-0.511538,0.0218485,1.4402,88,-52.9522,-17.92,87.9998,53.1196,18.6349,-0.00137329,0.207367,-2.64908
2139,17,52,51,661,-0.16209,0.29945,1.41738,-0.35297,0.15177,1.46565,-0.511538,0.0218485,1.4402,88,-52.9954,-18.2234,88.0005,53.1244,18.5504,0.0569916,0.00480652,-2.04346
2140,17,52,51,696,-0.16166,0.299943,1.41767,-0.352226,0.151879,1.46507,-0.511088,0.0220979,1.44209,88,-53.0392,-18.3508,88.0005,53.1251,18.4927,0,-0,-1.43646
2141,17,52,51,713,-0.16166,0.299943,1.41767,-0.352226,0.151879,1.46507,-0.511088,0.0220979,1.44209,88,-53.0521,-18.2509,87.9998,53.1251,18.4728,0,0.00411987,-1.02722
2142,17,52,51,761,-0.160037,0.303642,1.41684,-0.347949,0.151597,1.46259,-0.503835,0.0188316,1.43601,88,-52.9611,-18.065,88.0012,53.1244,18.4364,0,-0.0645447,-0.430527
2143,17,52,51,780,-0.160037,0.303642,1.41684,-0.347949,0.151597,1.46259,-0.503835,0.0188316,1.43601,88,-52.6955,-17.9759,88.0005,53.1223,18.4296,0,-0.10643,-0.393448
2144,17,52,51,823,-0.160037,0.303642,1.41684,-0.347949,0.151597,1.46259,-0.503835,0.0188316,1.43601,88,-52.3515,-17.9919,87.9998,53.1148,18.4138,0.000686646,-0.457306,-0.42984
2145,17,52,51,861,-0.160563,0.30434,1.4161,-0.34808,0.153234,1.46665,-0.502811,0.0208368,1.43224,88,-52.0874,-18.2722,88.0005,53.0907,18.3945,0,-0.889893,-0.534897
2146,17,52,51,878,-0.160563,0.30434,1.4161,-0.34808,0.153234,1.46665,-0.502811,0.0208368,1.43224,88,-51.9665,-19.0365,88.0005,53.075,18.3849,-0.0556183,-1.15906,-0.53833
2147,17,52,51,911,-0.160563,0.30434,1.4161,-0.34808,0.153234,1.46665,-0.502811,0.0208368,1.43224,88,-51.9567,-20.0195,88.0005,53.0255,18.3685,0.0205994,-1.6404,-0.456619
2148,17,52,51,945,-0.159667,0.305942,1.41416,-0.353339,0.163797,1.47191,-0.515565,0.0420352,1.42876,88,-52.1819,-21.0992,88.0012,52.9644,18.3575,0,-2.04208,-0.235519
2149,17,52,51,979,-0.159667,0.305942,1.41416,-0.353339,0.163797,1.47191,-0.515565,0.0420352,1.42876,88,-52.8163,-22.4704,88.0005,52.8889,18.3513,0,-2.0517,-0.0624847
2150,17,52,52,10,-0.159667,0.305942,1.41416,-0.353339,0.163797,1.47191,-0.515565,0.0420352,1.42876,88,-53.635,-23.8636,88.0005,52.8264,18.3506,0,-1.74408,-0
2151,17,52,52,44,-0.15885,0.304164,1.41321,-0.355857,0.170192,1.47516,-0.524271,0.0596522,1.42928,88,-54.4537,-25.0174,88.0005,52.7763,18.3513,0,-1.03546,0.0363922
2152,17,52,52,79,-0.15885,0.304164,1.41321,-0.355857,0.170192,1.47516,-0.524271,0.0596522,1.42928,88,-55.3413,-26.0159,88.0012,52.7515,18.3801,0,-0.361176,2.83447
2153,17,52,52,111,-0.15885,0.304164,1.41321,-0.355857,0.170192,1.47516,-0.524271,0.0596522,1.42928,88,-56.1628,-26.8083,88.0039,52.7447,18.5058,0,-0.0590515,5.91545
2154,17,52,52,143,-0.154687,0.303349,1.41221,-0.362663,0.186812,1.47269,-0.543758,0.0943687,1.43702,88,-57.0517,-27.0901,88.0032,52.7454,18.7234,-0.0611115,0.21286,8.54736
2155,17,52,52,180,-0.154687,0.303349,1.41221,-0.362663,0.186812,1.47269,-0.543758,0.0943687,1.43702,88,-58.3613,-26.6616,88.0025,52.7776,19.0812,-0.0247192,2.45888,10.8765
2156,17,52,52,211,-0.154687,0.303349,1.41221,-0.362663,0.186812,1.47269,-0.543758,0.0943687,1.43702,88,-59.8075,-25.8438,88.0019,52.8951,19.4485,-0.0727844,5.36201,10.7213
